CODIGO TITULO MIDIA PRECO GENERO
SW79766 EM_NOME_DO_REI__A_ULTIMA_MISSAO____________________________________ DVD-S 49.9_ ACAO________
SW79774 EM_NOME_DO_REI__A_ULTIMA_MISSAO____________________________________ BLU-R 89.9_ ACAO________
MG79731 ENCONTROS_CASUAIS__________________________________________________ SELL_ 29.9_ COMEDIA_____
LK79146 ENDER'S_GAME__O_JOGO_DO_EXTERMINADOR_______________________________ SELL_ 39.9_ ACAO________
LK79154 ENDER'S_GAME__O_JOGO_DO_EXTERMINADOR_______________________________ BLU-R 69.9_ ACAO________
MG79430 ESTRADA_DA_SALVACAO_O_COMECO_DO_FIM________________________________ DVD-S 29.9_ GOSPEL______
MG79707 FILHOS_DE_CAIM_____________________________________________________ SELL_ 34.9_ SUSPENSE____
LK79162 FRUITVALE_STATION__A_ULTIMA_PARADA_________________________________ SELL_ 39.9_ DRAMA_______
LK80454 FRUITVALE_STATION__A_ULTIMA_PARADA_________________________________ BLU-R 69.9_ DRAMA_______
LU79626 GIRIMUNHO__________________________________________________________ DVD-S 39.9_ DRAMA_______
IM80934 GLORIA_(IDIOMA_ESPANHOL)___________________________________________ DVD-S 94.9_ COMEDIA_____
CA80004 GRAND_CENTRAL______________________________________________________ DVD-S 39.9_ DRAMA_______
BV78425 HERCULES___________________________________________________________ BLU-R 69.9_ DESENHO_____
CL80373 HOUSE_OF_CARDS_?_2O._TEMPORADA_(4_DVDÔS)_(IDIOMA_INGLES)___________ BOX__ 109.9 DRAMA_______
PA79278 I_CARLY__O_PRIMEIRO_BEIJO__________________________________________ DVD-S 39.99 COMEDIA_____
LU79642 IMAGENS_DO_VELHO_MUNDO_(IDIOMA_TCHECO)_____________________________ DVD-S 39.9_ DOCUMENTARIO
MG79375 INATIVIDADE_PARANORMAL_2___________________________________________ DVD-S 99.9_ COMEDIA_____
MG79383 INATIVIDADE_PARANORMAL_2___________________________________________ BLU-R 89.9_ COMEDIA_____
MG79715 JOBS_______________________________________________________________ SELL_ 34.9_ DRAMA_______
MG79723 JOBS_______________________________________________________________ BLU-R 54.9_ DRAMA_______
LK79120 JOGOS_VORAZES_EM_CHAMAS____________________________________________ SELL_ 39.9_ ACAO________
LK79138 JOGOS_VORAZES_EM_CHAMAS____________________________________________ BLU-R 69.9_ ACAO________
IF79804 JULIO_SUMIU________________________________________________________ DVD-S 49.9_ COMEDIA_____
IF79812 JULIO_SUMIU________________________________________________________ BLU-R 89.9_ COMEDIA_____
CA79995 JUSTICA_CEGA_______________________________________________________ DVD-S 79.9_ ACAO________
LK79081 JUSTIN_BIEBER'S__BELIEVE___________________________________________ DVD-S 79.9_ DOCUMENTARIO
FO80471 KUNG_FU_PANDA_LENDAS_DO_DRAGAO_GUERREIRO_VOL._3____________________ DVD-S 24.9_ ANIMACAO____
CA79944 LIGADOS_PELO_AMOR__________________________________________________ SELL_ 39.9_ COMEDIA_____
CA79952 LIGADOS_PELO_AMOR__________________________________________________ BLU-R 39.9_ COMEDIA_____
IM80942 LUNCHBOX_(IDIOMA_INGLES)___________________________________________ DVD-S 94.9_ DRAMA_______
CL80306 LUTANDO_POR_UMA_CHANCE_____________________________________________ DVD-S 44.9_ ACAO________
IM80951 MAIS_QUE_MEL_(IDIOMA_ALEMAO)_______________________________________ SELL_ 39.9_ DOCUMENTARIO
CL80365 MANDELA_O_CAMINHO_PARA_A_LIBERDADE_________________________________ DVD-S 44.9_ DRAMA_______
CL80331 MASTERS_OF_SEX__1O._TEMPORADA_(4_DVDÔS)_(IDIOMA_INGLES)____________ BOX__ 89.9_ DRAMA_______
WB80861 MIKE_&_MOLLY__4O._TEMPORADA_(3_DVDÔS)______________________________ BOX__ 109.9 COMEDIA_____
UN79332 MONSTER_HIGH__CHOQUES_DE_CULTURA_E_FUGA_DA_ILHA_DO_ESQUELETO_______ DVD-S 44.99 INFANTIL____
BV80462 NEED_FOR_SPEED__O_FILME____________________________________________ DVD-S 119.9 ACAO________
BV80756 NEED_FOR_SPEED__O_FILME_(COMBO)____________________________________ DV+BD 139.9 ACAO________
BV80764 NEED_FOR_SPEED__O_FILME_(SOMENTE_EM_3D)____________________________ BLU-R 99.9_ ACAO________
UN79316 NEGOCIOS_MORTAIS___________________________________________________ DVD-S 99.99 ACAO________
UN79324 NEGOCIOS_MORTAIS___________________________________________________ BLU-R 99.99 ACAO________
CA79987 NINFOMANIACA_VOL._I________________________________________________ SELL_ 39.9_ DRAMA_______
CA80039 NINFOMANIACA_VOL._II_______________________________________________ DVD-S 39.9_ DRAMA_______
MG79740 NOIVOS_POR_ACASO___________________________________________________ SELL_ 29.9_ COMEDIA_____
CT80853 O_8O._HOMEM__O_POLICIAL_DO_FUTURO_VOL._1_(4_DVD'S)_(IDIOMA_JAPONES) BOX__ 79.9_ ANIMACAO____
MG79421 O_BRILHO_DA_VIDA___________________________________________________ DVD-S 29.9_ GOSPEL______
VE53775 O_CINEMA_DE_OZU_(3_DVD'S)_(IDIOMA_JAPONES)_________________________ BOX__ 49.9_ DRAMA_______
VE80446 O_CINEMA_DE_OZU_VOL._2_(3_DVDÔS)_(IDIOMA_JAPONES)__________________ BOX__ 69.9_ DRAMA_______
CA80047 O_GRANDE_MESTRE____________________________________________________ DVD-S 105.9 ACAO________
CA80055 O_GRANDE_MESTRE____________________________________________________ BLU-R 89.9_ ACAO________
UN79294 O_HOMEM_DO_TAI_CHI_________________________________________________ DVD-S 99.99 ACAO________
UN79308 O_HOMEM_DO_TAI_CHI_________________________________________________ BLU-R 99.99 ACAO________
EV80179 O_HOMEM_QUE_RI_(IDIOMA_FRANCES)____________________________________ SELL_ 29.9_ DRAMA_______
VV80101 O_MESTRE_DA_GUERRA_2_______________________________________________ DVD-S 89.9_ ACAO________
VV80110 O_MESTRE_DA_GUERRA_2_(2D_E_3D)_____________________________________ BLU-R 89.9_ ACAO________
VV80128 O_MESTRE_DA_GUERRA_2_(COMBO)_______________________________________ DV+BD 119.9 ACAO________
VE80730 O_SAMURAI__EDICAO_DEFINITIVA_(IDIOMA_FRANCES)______________________ DVD-S 39.9_ POLICIAL____
VV80152 O_SEGREDO_DA_BORBOLETA_____________________________________________ SELL_ 39.9_ SUSPENSE____
FH79537 PERSEGUICAO_IMPLACAVEL_____________________________________________ DVD-S 89.9_ ACAO________
FH79545 PERSEGUICAO_IMPLACAVEL_____________________________________________ BLU-R 89.9_ ACAO________
FH79553 PERSEGUICAO_IMPLACAVEL_(COMBO)_____________________________________ DV+BD 119.9 ACAO________
WB80284 POWER_RANGERS_SAMURAI_?_TEMPORADA_19_VOL._2________________________ DVD-S 39.9_ DESENHO_____
FC80080 QUANDO_CHAMA_O_CORACAO_____________________________________________ SELL_ 29.9_ ROMANCE_____
PA79243 RAGNAROK __________________________________________________________ SELL_ 39.99 AVENTURA____
PA79251 RAGNAROK___________________________________________________________ BLU-R 69.99 AVENTURA____
MG79685 REC_3__GENESIS_____________________________________________________ SELL_ 34.9_ SUSPENSE____
MG79693 REC_3__GENESIS_____________________________________________________ BLU-R 54.9_ SUSPENSE____
BV80471 RESURRECTION__1O._TEMPORADA_(2_DVD'S)_(_IDIOMA_INGLES)_____________ BOX__ 69.9_ SUSPENSE____
FO80446 RIO_2______________________________________________________________ DVD-S 44.9_ ANIMACAO____
FO80454 RIO_2_(2D_+_3D)____________________________________________________ BLU-R 99.9_ ANIMACAO____
FO80462 RIO_2______________________________________________________________ BLU-R 79.9_ ANIMACAO____
SW79782 ROUBO_A_MAFIA______________________________________________________ DVD-S 49.9_ SUSPENSE____
SW79791 ROUBO_A_MAFIA______________________________________________________ BLU-R 89.9_ SUSPENSE____
CA79901 RUSH__NO_LIMITE_DA_EMOCAO__________________________________________ SELL_ 39.9_ ACAO________
CA79910 RUSH__NO_LIMITE_DA_EMOCAO__________________________________________ BLU-R 39.9_ ACAO________
MG79391 SAGA__A_MALDICAO_DAS_SOMBRAS_______________________________________ DVD-S 99.9_ ACAO________
MG79405 SAGA__A_MALDICAO_DAS_SOMBRAS_______________________________________ BLU-R 89.9_ ACAO________
LK79022 SEM_ESCALAS________________________________________________________ DVD-S 109.9 ACAO________
LK79031 SEM_ESCALAS________________________________________________________ BLU-R 99.9_ ACAO________
FH79618 SID_&_NANCI__O_AMOR_MATA_(IDIOMA_INGLES)___________________________ DVD-S 29.9_ DRAMA_______
CL80314 SNATCH__PORCOS_E_DIAMANTES_(DVD_+_BD_+_LIVRO)______________________ DV+BD 69.9_ SUSPENSE____
MG79413 SOMBRAS_DA_MORTE___________________________________________________ DVD-S 79.9_ TERROR______
EV80161 SOMOS_O_QUE_SOMOS__________________________________________________ SELL_ 29.9_ SUSPENSE____
LU79634 SUBMARINO_(IDIOMA_DINAMARQUES)_____________________________________ DVD-S 39.9_ DRAMA_______
BV78433 TARZAN_____________________________________________________________ BLU-R 69.9_ DESENHO_____
WB80985 TEORIA_DA_CONSPIRACAO______________________________________________ BLU-R 49.9_ SUSPENSE____
FH79600 TOTALMENTE_INAPROPRIADO____________________________________________ SELL_ 29.9_ COMEDIA_____
EV79804 TREM_NOTURNO_PARA_LISBOA___________________________________________ SELL_ 39.9_ DRAMA_______
EV79812 TREM_NOTURNO_PARA_LISBOA___________________________________________ BLU-R 39.9_ DRAMA_______
